Tool	Platform	Code	Description	License	Added	Updated
CIDER	R	https://github.com/zhiyhu/CIDER	A meta-clustering workflow based on inter-group similarity measures	MIT	2021-11-20	2021-12-17
CIDR	R	https://github.com/VCCRI/CIDR	Ultrafast and accurate clustering through imputation and dimensionality reduction for single-cell RNA-seq data.	GPL-2.0-or-later	2016-09-09	2018-03-14
CIPR	R	https://github.com/atakanekiz/CIPR-Package	Cluster Identity PRedictor (CIPR) provides a graphical user interface to quickly score gene expression profiles of unknown cell clusters against mouse or human references	GPL-3.0	2020-05-22	2020-05-22
Cirrocumulus	Python/JavaScript	https://github.com/klarman-cell-observatory/cirrocumulus	Cirrocumulus is an interactive visualization tool for large-scale single-cell genomics data	BSD-3-Clause	2020-10-05	2020-10-05
CiteFuse	R	https://github.com/SydneyBioX/CiteFuse	CiteFuse is a streamlined package consisting of a suite of tools for pre-processing, modality integration, clustering, differential RNA and ADT expression analysis, ADT evaluation, ligand-receptor interaction analysis, and interactive web-based visualization of CITE-seq data	GPL-3.0	2019-12-01	2021-06-11
CITEseqCount	Python	https://github.com/Hoohm/CITE-seq-Count	A python package that allows to count antibody TAGS from a CITE-seq and/or cell hashing experiment.	MIT	2018-08-24	2019-10-02
Citrus	R	https://github.com/ChenMengjie/Citrus	A normalization method to remove unwanted variation using both control and target genes.	GPL-2.0-or-later	2016-09-09	2018-11-13
CLEAR	Python/R	https://github.com/ml4bio/CLEAR	CLEAR (self-supervised Contrastive LEArning framework for scRNA-seq) software provides a self-supervised learning based integrative single-cell RNA-seq data analysis tool	NA	2021-08-01	2021-08-01
clonealign	R	https://github.com/kieranrcampbell/clonealign	clonealign assigns single-cell RNA-seq expression to cancer clones by mapping RNA-seq to clone-specific copy number profiles	Apache-2.0	2018-05-01	2019-03-15
ClonoCluster	R	https://github.com/leeprichman/ClonoCluster	A method for using clonal origin to inform transcriptome clustering	GPL-3.0	2022-02-18	2022-02-18
ClustAssess	R/C++	https://github.com/Core-Bioinformatics/ClustAssess	Provides a set of tools for evaluating clustering robustness	MIT	2022-02-04	2022-02-04
cluster_diffex	Python	https://github.com/simslab/cluster_diffex2018	Representative marker selection, cluster, visualization, and binomial differential expression pipeline	MIT	2020-04-28	2020-04-28
clusterExperiment	R	https://github.com/epurdom/clusterExperiment	Functions for running and comparing many different clusterings of single-cell sequencing data. Meant to work with SCONE and slingshot.	Artistic-2.0	2016-09-08	2020-03-25
ClusterFoldSimilarity	R	https://github.com/OscarGVelasco/ClusterFoldSimilarity	Calculate cluster similarity between clusters from different single cell datasets/batches/samples	MIT	2022-03-18	2022-03-18
Clustergrammer2	Python	https://github.com/ismms-himc/clustergrammer2	Clustergrammer2 is an interactive WebGL heatmap Jupyter widget that is built to help researchers interactively explore single cell data (e.g. scRNA-seq). Clustergrammer2 enables unbiased hierarchical clustering, integration of prior knowledge categories, and the generation of novel signatures.	MIT	2019-11-06	2021-06-28
ClusterMap	R	https://github.com/xgaoo/ClusterMap	ClusterMap is an R package to analyze and compare two or more single cell expression datasets	MIT	2018-11-12	2019-02-01
ClusterMine	R	http://www.genemine.org/clustermine.php	ClusterMine is a knowledge-integrated clustering approach to cluster samples based on gene expression profile.	NA	2017-02-05	2017-02-05
clustermole	R	https://github.com/igordot/clustermole	The clustermole R package provides a comprehensive meta collection of cell identity markers for thousands of human and mouse cell types sourced from a variety of databases as well as methods to query them.	MIT	2020-01-22	2020-01-30
clusterpval	R	https://github.com/lucylgao/clusterpval	clusterpval is an R package that tests the null hypothesis of no difference in means between two estimated clusters in a data set	MIT	2020-12-13	2020-12-13
clustifyr	R	https://github.com/rnabioco/clustifyr	Classify cells from single-cell RNA sequencing data using external reference data (e.g., bulk RNA-seq, scRNA-seq, microarray, gene lists).	MIT	2019-12-04	2021-03-12
CMFImpute	MATLAB	https://github.com/xujunlin123/CMFImpute	CMF-Impute: an accurate imputation tool for single-cell RNA-seq data	NA	2020-03-03	2020-03-03
cna	Python	https://github.com/yakirr/cna	Covarying neighborhood analysis is a method for finding structure in- and conducting association analysis with multi-sample single-cell datasets	GPL-3.0	2021-04-23	2021-10-29
cNMF	Python	https://github.com/dylkot/cNMF	Consensus Non-negative Matrix Factorization on single-cell RNA-Seq data	MIT	2019-07-24	2022-02-18
CNNC	Python	https://github.com/xiaoyeye/CNNC	Convolutional neural network co-expression analysis (CNNC)	MIT	2018-11-12	2018-11-12
COAC	C++	https://github.com/ChengF-Lab/COAC	Component Overlapping Attribute Clustering (COAC) algorithm to perform the localized (subpopulation) gene co-expression network analysis from large-scale scRNA-seq profiles	NA	2019-02-25	2019-02-25
Cobolt	Python	https://github.com/epurdom/cobolt	Cobolt is a method developed for modeling multi-omic single-cell sequencing datasets	GPL-3.0	2021-11-12	2022-01-06
cocoa	R/C++	https://github.com/kharchenkolab/cacoa	Case-Control Analysis of scRNA-seq experiments	GPL-3.0	2022-03-25	2022-03-25
CoGAPs	R/C++	https://github.com/FertigLab/CoGAPS	Coordinated Gene Activity in Pattern Sets (CoGAPS) implements a Bayesian MCMC matrix factorization algorithm, GAPS, and links it to gene set statistic methods to infer biological process activity	BSD-3-Clause	2020-06-16	2021-06-28
cola	R/C++	https://github.com/jokergoo/cola	A General Framework for Consensus Partitioning	MIT	2021-09-10	2021-09-10
CombiROC	R	https://github.com/ingmbioinfo/combiroc	CombiROC is a totally new music in multi-markers analysis: an R package for efficient and easy combinatorial selection of biomarkers and sensitivity/specificity-driven prioritization of features.	MIT	2022-01-22	2022-01-22
COMET	Python	https://github.com/MSingerLab/COMETSC	COMET: Identifying candidate marker panels from single-cell transcriptomic data	BSD-3-Clause	2019-05-31	2019-11-12
Compartmap	R	https://github.com/biobenkj/compartmap	Direct inference of higher-order chromatin structure in individual cells from scRNA-seq and scATAC-seq	GPL-3.0	2021-05-21	2021-05-21
compass	Python	https://github.com/nceglia/compass	Vector representations of gene co-expression in single-cell RNA-seq	MIT	2020-11-22	2020-11-22
CONCLUS	R	https://github.com/lancrinlab/CONCLUS	CONCLUS is a tool for robust clustering and positive marker features selection of single-cell RNA-seq (sc-RNA-seq) datasets.	GPL-3.0	2019-12-10	2021-05-21
condiments	R	https://github.com/HectorRDB/condiments	Trajectory inference across multiple conditions with condiments: differential topology, progression, differentiation, and expression	MIT	2021-03-12	2021-05-21
CoNGA	Python	https://github.com/phbradley/conga	conga was developed to detect correlation between T cell gene expression profile and TCR sequence in single-cell datasets	MIT	2021-09-03	2021-09-03
CONGAS	Python	https://github.com/caravagnalab/congas	A set of Pyro models and functions to infer CNA from scRNA-seq data	GPL-3.0	2021-02-05	2022-03-25
CONICS	R/Python	https://github.com/diazlab/CONICS	CONICS: COpy-Number analysis In single-Cell RNA-Sequencing	NA	2018-05-01	2018-05-01
Connectome	R	https://github.com/msraredon/Connectome	Connectome is an R toolkit to explore cell-cell connectivity patterns based on ligand and receptor data in heterogeneous single-cell datasets	GPL-3.0	2021-01-22	2022-03-18
Conos	R/C++	https://github.com/hms-dbmi/conos	Clustering on Network of Samples	GPL-3.0	2018-11-09	2021-02-26
constclust	Python	https://github.com/ivirshup/constclust	Consistent Clusters for scRNA-seq	MIT	2019-07-24	2021-08-11
contrastiveVI	Python	https://github.com/suinleelab/contrastiveVI	Contrastive variational inference for single-cell transcriptomic data	NA	2022-01-06	2022-01-14
CopulaGCN	Python/R	https://github.com/Snehalikalall/CopulaGCN	A topology preserving graph convolution network for clustering of single-cell RNA seq data	NA	2021-11-20	2021-11-20
CopyKAT	R	https://github.com/navinlabcode/copykat	Inference of genomic copy number and subclonal structure of human tumors from high-throughput single cell RNAseq data	GPL-2.0	2021-10-18	2021-10-18
corral	R	https://github.com/laurenhsu1/corral	corral is a package to perform correspondence analysis on count data, particularly for single-cell (e.g., RNA-seq)	GPL-2.0	2020-08-06	2021-11-27
COSG	Python	https://github.com/genecell/COSG	COSG is a cosine similarity-based method for more accurate and scalable marker gene identification	BSD-3-Clause	2021-06-18	2022-03-04
COSGR	R	https://github.com/genecell/COSGR	R implementation of COSG	BSD-3-Clause	2021-06-18	2021-06-18
COSLIR	Python/MATLAB	https://github.com/Ge-lab-pku/COSLIR	COSLIR: Direct Reconstruction of Gene Regulatory Networks underlying Cellular state Transitions without Pseudo-time Inference	MIT	2021-05-21	2021-05-21
CoSpar	Python	https://github.com/AllonKleinLab/cospar	Dynamic inference by integrating state and lineage information	MIT	2021-05-14	2022-03-04
COT	Python	https://github.com/MintaYLu/COT	Cosine based One-sample Test (COT) is an accurate and efficient method to detect subtype-specific marker genes	MIT	2021-01-15	2021-01-15
countClust	R	https://github.com/kkdey/CountClust	Clustering and Visualizing RNA-Seq Expression Data using Grade of Membership Models. Fits grade of membership models (GoM, also known as admixture models) to cluster RNA-seq gene expression count data, identifies characteristic genes driving cluster memberships, and provides a visual summary of the cluster memberships.	GPL-2.0-or-later	2016-09-12	2019-11-03
coupleCoC	MATLAB	https://github.com/cuhklinlab/coupleCoC	A coupled co-clustering-based unsupervised transfer learning algorithm (coupleCoC) for the integrative analysis of multimodal single-cell data	NA	2020-04-01	2020-04-01
coupleCoC_plus	MATLAB	https://github.com/cuhklinlab/coupleCoC_plus	An information-theoretic co-clustering-based transfer learning framework for the integrative analysis of single-cell genomic data	NA	2021-02-19	2021-02-19
coupledAE-patchseq	Python	https://github.com/alleninstitute/coupledAE-patchseq	Coupled autoencoders can achieve alignment of partially paired measurements across multiple modalities	Custom	2021-08-27	2021-08-27
CPA	Python	https://github.com/facebookresearch/CPA	CPA is a deep generative framework to learn effects of perturbations at the single-cell level	MIT	2021-04-16	2021-04-16
CPLVM	Python	https://github.com/andrewcharlesjones/cplvm	Models and algorithms for contrastive Poisson latent variable models (CPLVM)	MIT	2021-02-26	2021-06-28
CrossTalkeR	R	https://github.com/CostaLab/CrossTalkeR	CrossTalkeR identifies relevant ligands, receptors and cell types contributing to changes in cell communication when contrasting two biological states	MIT	2021-01-22	2021-08-27
CSHMM	Python	https://github.com/jessica1338/CSHMM-for-time-series-scRNA-Seq	CSHMM accurately infers branching topology in time series data and correctly and continuously assign cells to paths	NA	2019-05-08	2019-05-08
CSHMM-TF	Python	https://github.com/jessica1338/CSHMM-TF-for-time-series-scRNA-Seq	Continuous-State Hidden Markov Models TF (CSHMM-TF) method which integrates probabilistic modeling of scRNA-Seq data with the ability to assign TFs to specific activation points in the learned model	NA	2020-03-03	2020-03-03
CSMF	Matlab	http://page.amss.ac.cn/shihua.zhang/software.html	CSMF (Common and Specific Matrix Factorization) is a MATLAB package to simultaneously extract common and specific patterns from the data of two or multiple biological interrelated conditions via matrix factorization.	NA	2018-03-08	2018-03-08
CSN	MATLAB	https://github.com/wys8c764/CSN	Cell-specific Network Constructed from Single-cell RNA Sequencing Data	NA	2019-03-25	2019-03-25
CSOmap	MATLAB	https://codeocean.com/capsule/2860903/tree/v1	A computational strategy to infer cellular interaction from scRNA-seq	MIT	2020-02-21	2020-02-21
CStreet	Python	https://github.com/TongjiZhanglab/CStreet	CStreet is a cell state trajectory inference method for time-series single-cell RNA-seq data	MIT	2021-07-09	2021-07-09
ctgGEM	R	https://github.com/bicbioeng/ctgGEM	ctgGEM is an R package that combines a variety of visualization packages for single cell RNA tree hierarchies	GPL-2.0-or-later	2020-04-29	2020-04-29
cTPnet	R/Python	https://github.com/zhouzilu/cTPnet	Single cell Transcriptome to Protein prediction with deep neural networks	GPL-3.0	2019-06-20	2021-08-11
cvCovEst	R	https://github.com/PhilBoileau/cvCovEst	cvCovEst implements an efficient cross-validated procedure for covariance matrix estimation, particularly useful in high-dimensional settings	MIT	2021-08-06	2021-08-06
Cyclum	Python	https://github.com/KChen-lab/cyclum	Cyclum is a package to recover cell cycle information and remove cell cycle factors from scRNA-seq data	MIT	2019-05-07	2021-06-28
Cytopath	Python	https://github.com/aron0093/cytopath	Simulation based inference of differentiation trajectories from RNA velocity fields	BSD-3-Clause	2021-01-08	2021-01-08
CytoTalk	MATLAB/R/Python	https://github.com/tanlabcode/CytoTalk	A computational method for de novo constructing cell type-specific signal transduction networks using single-cell RNA-Seq data	NA	2020-04-01	2021-04-23
D-EE	C/R	https://github.com/ShaokunAn/D-EE	D-EE: a distributed software for visualizing intrinsic structure of large-scale single-cell data	GPL-3.0	2020-11-22	2020-11-22
